,id,symbol,name,price,rank,total_volume,fully_diluted_valuation,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,all_time_high,ath_date,all_time_low,atl_date,last_updated
823,hydradx,hdx,HydraDX,0.00910832,822,202699.0,40142311.0,0.00960276,0.00789519,0.00121313,15.36545,3126939.0,15.4069,2571056733.02839,4406348809.43883,6500000000.0,0.01433101,2023-01-28T00:00:00.000Z,0.00357925,2023-04-10T08:41:13.159Z,2023-12-15T10:14:09.085Z
824,meld,meld,MELD [OLD],0.01577518,824,39582.0,63110193.0,0.01683952,0.01518491,0.00019668,1.26251,292281.0,1.26589,1481934719.13291,4000000000.0,4000000000.0,0.189347,2022-02-04T09:51:18.263Z,0.0086883,2023-10-14T15:55:04.112Z,2023-12-15T10:15:14.231Z
825,witnet,wit,Witnet,0.01807167,825,240936.0,45251359.0,0.01839683,0.01643295,0.00110215,6.49486,1455549.0,6.65017,1289626042.0,2500000000.0,2500000000.0,0.056684,2021-12-02T04:03:33.944Z,0.00205817,2023-03-12T14:44:49.199Z,2023-12-15T10:14:09.505Z
826,streamr,data,Streamr,0.03042201,826,1024047.0,30445293.0,0.03123342,0.03007432,-0.0003192715489161,-1.03858,-225291.11849544942,-0.95592,767121867.0,1000541714.0,2000000000.0,0.209972,2021-12-02T17:13:34.674Z,0.02014685,2023-09-11T20:10:37.063Z,2023-12-15T10:15:05.248Z
827,troy,troy,TROY,0.00238005,827,3064003.0,23797640.0,0.00247244,0.00237731,-2.7477514522644e-05,-1.14132,-341061.3978396021,-1.44863,9750000000.0,10000000000.0,10000000000.0,0.03652384,2021-04-17T06:53:14.104Z,0.001332,2020-03-16T10:20:07.334Z,2023-12-15T10:14:54.196Z
828,velo,velo,Velo,0.0031377,831,3059996.0,75307985.0,0.00327319,0.00300048,-5.5287141423013e-05,-1.73152,-396549.7087074518,-1.68125,7390475595.0,23999976722.8056,,2.29,2021-03-08T10:16:26.079Z,0.00103046,2022-12-20T01:50:14.469Z,2023-12-15T10:15:08.376Z
829,harvest-finance,farm,Harvest Finance,34.53,828,1173175.0,23837146.0,35.14,33.98,-0.22483073851407198,-0.64688,-174423.21854761988,-0.74815,670018.584713,690214.78,690214.78,5078.47,2020-09-02T05:35:31.761Z,20.45,2023-09-01T17:31:48.313Z,2023-12-15T10:14:51.956Z
830,noisegpt,enqai,enqAI,0.02620642,838,1263459.0,26304721.0,0.03407454,0.0236407,-0.005305334876575051,-16.83605,-4175291.401436709,-15.30195,878576510.6409434,1000000000.0,,0.03407454,2023-12-14T11:14:45.315Z,0.00032669,2023-05-03T02:21:02.079Z,2023-12-15T10:14:45.129Z
831,delysium,agi,Delysium,0.04323321,829,4607554.0,130072175.0,0.04680012,0.03380535,0.00860904,24.86425,4743698.0,25.9148,531597312.628337,3000000000.0,3000000000.0,0.378924,2023-04-11T12:31:59.430Z,0.01230869,2023-10-20T12:35:20.638Z,2023-12-15T10:15:14.899Z
832,cosplay-token-2,cot,Cosplay Token,0.02625654,832,176266.0,26264886.0,0.02631837,0.02545554,0.00060427,2.35563,1364608.0,6.30725,875700127.863681,1000000000.0,1000000000.0,0.357248,2022-03-23T12:43:38.792Z,0.01275604,2023-04-26T22:20:27.563Z,2023-12-15T10:14:38.232Z
833,compound-uniswap,cuni,cUNI,0.126988,833,0.0,22972131.0,0.131375,0.125167,-0.002265969238375937,-1.75356,-429893.1698433012,-1.83699,180946424.139223,180946424.139223,,0.908721,2021-05-03T04:23:46.712Z,0.03552288,2020-11-05T08:45:03.205Z,2023-12-15T10:15:05.435Z
834,bostrom,boot,Bostrom,3.9772e-08,835,46376.0,46937464.0,4.1857e-08,3.7606e-08,-2.085154586e-09,-4.98165,-752958.7554684393,-3.18625,573398819473613.0,1176399480968840.0,,2.2994e-07,2022-03-28T03:43:50.414Z,5.325e-09,2023-09-13T00:19:12.985Z,2023-12-15T10:14:32.703Z
835,airswap,ast,AirSwap,0.126426,834,5651613.0,63179334.0,0.13439,0.122839,-0.001486578889757145,-1.16218,-423830.35837820545,-1.82833,180102120.9388,500000000.0,500000000.0,1.85,2018-01-09T00:00:00.000Z,0.00718622,2020-03-13T02:29:28.208Z,2023-12-15T10:15:05.451Z
836,dexalot,alot,Dexalot,0.937276,837,892468.0,93749096.0,0.943765,0.794852,0.133626,16.62741,3261057.0,16.72911,24271556.5,100000000.0,100000000.0,2.8,2022-04-06T14:43:59.959Z,0.080024,2023-01-01T09:15:41.799Z,2023-12-15T10:14:52.751Z
837,tokemak,toke,Tokemak,0.80617,836,392055.0,80605255.0,0.817629,0.798131,0.00757692,0.94878,211054.0,0.93674,28213886.256426238,100000000.0,100000000.0,79.02,2021-11-04T00:35:29.799Z,0.319832,2023-10-09T17:00:52.644Z,2023-12-15T10:14:44.876Z
838,step-app-fitfi,fitfi,Step App,0.00958857,840,26523217.0,44227061.0,0.00999855,0.00829769,0.00072695,8.20341,1824081.0,8.76809,2353479212.0,4600000000.0,4600000000.0,0.731881,2022-05-05T10:49:00.713Z,0.00289042,2023-08-01T04:25:42.240Z,2023-12-15T10:15:11.087Z
839,sovryn,sov,Sovryn,0.606178,843,490695.0,60594820.0,0.691866,0.560454,-0.07926396016098103,-11.56391,-2963274.8991065957,-11.57961,37341791.3874786,100000000.0,100000000.0,43.98,2021-10-07T14:59:17.778Z,0.167206,2022-12-23T15:25:14.761Z,2023-12-15T10:15:11.608Z
840,advertise-coin,adco,Advertise Coin,0.501609,839,7633.68,25080453.0,0.512068,0.492575,-0.001467666212724317,-0.29174,-69423.61986350268,-0.30662,45000000.0,50000000.0,,0.527994,2023-12-09T08:28:08.662Z,0.02220041,2021-07-06T02:25:58.993Z,2023-12-15T10:09:01.943Z
841,gala-music,music,Gala Music,0.226126,846,15933002.0,225693911.0,0.284255,0.210732,-0.04640631112496155,-17.02781,-4346582.385719143,-16.14871,100000000.0,1000000000.0,1000000000.0,0.303994,2023-12-14T02:15:24.655Z,0.124712,2023-12-08T11:54:56.917Z,2023-12-15T10:15:11.707Z
842,bytom,btm,Bytom,0.01250656,841,363077.0,26253628.0,0.01257364,0.011186,0.00097743,8.47795,1700146.0,8.1694,1800654318.75,2100000000.0,,1.16,2018-04-24T00:19:42.640Z,0.007767,2022-05-12T07:26:26.794Z,2023-12-15T10:14:48.828Z
843,shiba-saga,shia,Shiba Saga,0.08009,842,626159.0,160242340.0,0.083801,0.077526,-0.001237168469717914,-1.52122,-280492.2312546633,-1.23451,280080208.82463354,2000000000.0,2000000000.0,0.785605,2023-08-26T19:54:46.281Z,0.04929403,2023-10-29T05:10:32.390Z,2023-12-15T10:15:05.390Z
844,carbon-browser,csix,Carbon Browser,0.07322,844,7167123.0,73234103.0,0.07744,0.072891,-0.001465582366384069,-1.96233,-437849.1874096617,-1.92172,305013690.09,999600000.0,1000000000.0,0.427301,2023-02-19T19:00:05.225Z,0.01055773,2023-06-13T16:25:38.959Z,2023-12-15T10:15:10.419Z
845,media-licensing-token,mlt,Media Licensing Token,0.152361,845,713521.0,30479599.0,0.159574,0.150689,0.00062066,0.40903,17991.92,0.08071,146401460.92524877,200000000.0,200000000.0,0.728855,2021-11-30T00:00:00.000Z,0.01880202,2021-07-31T00:00:00.000Z,2023-12-15T10:15:08.419Z
846,octaspace,octa,OctaSpace,0.886312,847,658307.0,22308569.0,0.947897,0.806079,0.071689,8.80022,1913413.0,9.3817,25090073.4928427,25090073.4928427,48000000.0,1.059,2023-11-29T00:18:31.298Z,0.120508,2023-04-05T09:15:02.125Z,2023-12-15T10:14:07.978Z
847,jackal-protocol,jkl,Jackal Protocol,0.327587,850,145235.0,43779179.0,0.328615,0.299105,0.01810036,5.8485,1416653.0,6.81771,67561605.304111,133259784.455788,400000000.0,0.429902,2023-02-03T17:19:44.908Z,0.02226129,2023-08-04T12:06:59.987Z,2023-12-15T10:14:34.691Z
848,platypus-usd,usp,Platypus USD,0.339044,848,14917.94,22186336.0,,,,,,,65437888.7562428,65437888.7562428,,1.008,2023-02-09T19:49:04.027Z,0.339044,2023-02-18T04:30:20.629Z,2023-02-18T04:30:20.629Z
849,hubble,hbb,Hubble,0.416638,849,801878.0,41454537.0,0.56585,0.405013,-0.07694823706722169,-15.58961,-4338701.472794291,-16.3718,53461857.240442,100000000.0,100000000.0,5.12,2022-01-28T12:05:28.245Z,0.03047309,2023-07-27T03:41:35.109Z,2023-12-15T10:15:00.148Z
850,poollotto-finance,plt,Poollotto.finance,1.48,851,23097.0,28464801.0,1.49,1.45,0.00807247,0.54763,92394.0,0.41962,14969974.744564982,19272000.0,,20.6,2022-03-12T11:44:02.456Z,0.818905,2023-05-18T14:10:35.945Z,2023-12-15T10:14:58.350Z
851,dogechain,dc,Dogechain,0.00090677,853,1007303.0,154557196.0,0.0009119,0.00082947,5.703e-05,6.71161,1567382.0,7.66381,24158836278.883,169576392441.372,169576392441.372,0.00462755,2022-08-29T14:40:18.956Z,0.00035975,2022-10-21T12:54:58.906Z,2023-12-15T10:15:11.134Z
852,og-fan-token,og,OG Fan Token,4.9,852,4387675.0,24569914.0,5.06,4.86,-0.14395244827038933,-2.85164,-638530.8753068596,-2.8336,4455795.0,5000000.0,,23.25,2020-12-30T02:30:26.107Z,1.18,2022-05-12T06:17:01.402Z,2023-12-15T10:15:04.336Z
853,gamium,gmm,Gamium,0.00056955,854,371864.0,22382828.0,0.00060005,0.00056998,-2.1678745351193e-05,-3.66675,-725011.2067847401,-3.21405,38310395703.825,39276038515.2091,,0.01290959,2022-04-03T10:00:09.313Z,0.00027813,2022-12-20T01:40:48.412Z,2023-12-15T10:15:10.810Z
854,streamr-xdata,xdata,Streamr XDATA,0.03128101,856,824.01,30886069.0,0.03188023,9.29288e-07,0.03127989,2792455.31817,21811718.0,2791472.46653,697152733.0536901,987154514.0,,0.454557,2017-12-08T00:00:00.000Z,9.00372e-07,2023-12-14T09:15:06.684Z,2023-12-15T10:14:43.212Z
855,mute,mute,Mute,0.539188,858,306551.0,21742541.0,0.54342,0.481326,0.056788,11.77208,2487774.0,12.9203,40000000.0,40000000.0,40000000.0,3.14,2022-01-02T05:59:36.044Z,0.108787,2022-06-18T20:13:51.424Z,2023-12-15T10:15:04.583Z
856,district0x,dnt,district0x,0.02864141,862,220789.0,28650692.0,0.02974159,0.0285279,-0.000430122101624134,-1.47953,-323992.50138801336,-1.48301,751221716.3251766,1000000000.0,,0.48337,2021-04-19T07:48:07.777Z,0.00216748,2020-03-13T02:24:17.818Z,2023-12-15T10:14:51.228Z
857,onbuff,onit,ONBUFF,0.02790307,861,756861.0,21493941.0,0.02890864,0.02749851,-0.000798335843025157,-2.78152,-620500.3048774526,-2.80586,770075466.0,770075466.0,789885600.0,0.778144,2020-09-08T00:12:22.866Z,0.02152274,2021-01-04T10:20:06.459Z,2023-12-15T10:14:45.557Z
